issueSymbolIdentifier,issueName,firmCRDNumber,MPID,marketParticipantName,tierIdentifier,tierDescription,summaryStartDate,totalWeeklyTradeCount,totalWeeklyShareQuantity,productTypeCode,summaryTypeCode,weekStartDate,lastUpdateDate,initialPublishedDate,lastReportedDate,totalNotionalSum
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2021-12-06,141244,66623390.0,CTS,ATS_W_SMBL,2021-12-06,2021-12-27,2021-12-27,2021-12-10,30941285751.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2021-12-13,189914,108424049.0,CTS,ATS_W_SMBL,2021-12-13,2022-01-03,2022-01-03,2021-12-17,50518159268.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2021-12-20,92366,32287814.0,CTS,ATS_W_SMBL,2021-12-20,2022-01-10,2022-01-10,2021-12-23,14910956297.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2021-12-27,111098,55883122.0,CTS,ATS_W_SMBL,2021-12-27,2022-01-18,2022-01-18,2021-12-31,26606513926.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2022-01-03,131874,68027939.0,CTS,ATS_W_SMBL,2022-01-03,2022-01-24,2022-01-24,2022-01-07,32166334819.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2022-01-10,136543,47372620.0,CTS,ATS_W_SMBL,2022-01-10,2022-01-31,2022-01-31,2022-01-14,22092031525.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2022-01-17,163211,74489562.0,CTS,ATS_W_SMBL,2022-01-17,2022-02-07,2022-02-07,2022-01-21,33647983970.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2022-01-24,382427,88782227.0,CTS,ATS_W_SMBL,2022-01-24,2022-02-14,2022-02-14,2022-01-28,38675648747.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2022-01-31,182107,113507405.0,CTS,ATS_W_SMBL,2022-01-31,2022-02-22,2022-02-22,2022-02-04,50960669967.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2022-02-07,196384,76886655.0,CTS,ATS_W_SMBL,2022-02-07,2022-02-28,2022-02-28,2022-02-11,34659391521.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2022-02-14,150284,61682014.0,CTS,ATS_W_SMBL,2022-02-14,2022-03-07,2022-03-07,2022-02-18,27186238932.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2022-02-21,224709,73292546.0,CTS,ATS_W_SMBL,2022-02-21,2022-03-14,2022-03-14,2022-02-25,31263039362.0
SPY,SPDR S&P 500 ETF Trust,,,,T1,NMS Tier 1,2022-02-28,230241,63669240.0,CTS,ATS_W_SMBL,2022-02-28,2022-03-21,2022-03-21,2022-03-04,27686710437.0
